name,year,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PXY,SO_2,TCH,TOL,station,id,lon,lat,elevation,PM25,NO,CH4
Cuatro Caminos,2016,0.41499883087951267,,0.4040137921138677,,,42.53807569539444,,,,19.547531572904706,,3.716402598882936,,3.194912673142399,28079038.0,28079038.0,-3.7071277777777785,40.44554444444445,698.0,10.571067738231918,29.173506611947104,
Cuatro Caminos,2017,0.6490892146421281,,0.7103311780027514,,,45.825226050131626,144.5969133000454,,,18.28185151237397,,4.139867337602928,,2.9402526021404527,28079038.0,28079038.0,-3.7071277777777785,40.44554444444445,698.0,9.57871219065078,27.760672999885543,
Cuatro Caminos,2018,0.6554739465946791,,0.4791885328750462,,,43.71095652173913,79.51165217391305,,,10.57949790794979,,4.519819193324061,,1.9867086400697807,28079038.0,28079038.0,-3.7071277777777785,40.44554444444445,698.0,7.214708957825026,23.344,
El Pardo,2009,,,,,0.24382456083569606,26.554945930596944,43.5968243218757,,37.21026796010048,,,,1.3975945925390398,,28079058.0,28079058.0,-3.7746111111111116,40.51805833333333,615.0,,,
El Pardo,2010,,,,,0.2515765866221861,21.77914749140979,29.96847006076669,,56.530009284251065,,,,1.4789582637722387,,28079058.0,28079058.0,-3.7746111111111107,40.51805833333333,615.0,,,
El Pardo,2011,,,,,0.29427473095713985,22.910212864317533,33.869998931884766,,49.73961065808681,,,,1.5840521016907796,,28079058.0,28079058.0,-3.7746111111111107,40.51805833333333,615.0,,9.192178641675344,
El Pardo,2012,,,,,0.3786609870627096,18.819159894700697,,,47.32017393294427,,,,1.7212233711725609,,28079058.0,28079058.0,-3.774611111111111,40.51805833333333,615.0,,8.001373626373626,
El Pardo,2013,,,,,,18.465353338678273,,,55.34603501544799,,,,,,28079058.0,28079058.0,-3.7746111111111107,40.51805833333333,615.0,,3.5627075936318864,
El Pardo,2014,,,,,,12.76774488512973,,,55.45615842490842,,,,,,28079058.0,28079058.0,-3.7746111111111107,40.51805833333333,615.0,,2.320950965824666,
El Pardo,2015,,,,,,18.092035804452603,,,57.695437306056775,,,,,,28079058.0,28079058.0,-3.7746111111111107,40.51805833333333,615.0,,5.558756024787698,
El Pardo,2016,,,,,,17.972404277337013,,,57.431066604564506,,,,,,28079058.0,28079058.0,-3.774611111111111,40.51805833333333,615.0,,5.728642060480626,
El Pardo,2017,,,,,,18.217655140828946,42.744439400817065,,52.75659252465031,,,,,,28079058.0,28079058.0,-3.7746111111111107,40.51805833333333,615.0,,6.098809251202199,
El Pardo,2018,,,,,,14.567351200835363,22.459101983988862,,52.363699582753824,,,,,,28079058.0,28079058.0,-3.774611111111111,40.51805833333333,615.0,,5.114514444831187,
Ensanche de Vallecas,2009,,,,,,51.21063753808162,87.48139441155817,,38.05796812682513,,,,,,28079054.0,28079054.0,-3.612116666666666,40.372933333333336,627.0,,,
Ensanche de Vallecas,2010,,,,,,41.396376254374616,62.475114672644864,,51.848839004784395,,,,,,28079054.0,28079054.0,-3.612116666666666,40.372933333333336,627.0,,,
Ensanche de Vallecas,2011,,,,,,39.54386712475194,74.79000091552734,,52.420165790073284,,,,,,28079054.0,28079054.0,-3.612116666666666,40.372933333333336,627.0,,29.82972384553684,
Ensanche de Vallecas,2012,,,,,,31.225456621004565,,,43.60203265958662,,,,,,28079054.0,28079054.0,-3.612116666666666,40.372933333333336,627.0,,25.9925799086758,
Ensanche de Vallecas,2013,,,,,,25.57993119266055,,,53.42095588235294,,,,,,28079054.0,28079054.0,-3.612116666666666,40.372933333333336,627.0,,21.857454128440367,
Ensanche de Vallecas,2014,,,,,,31.65136876006441,,,56.12891986062718,,,,,,28079054.0,28079054.0,-3.612116666666666,40.372933333333336,627.0,,17.579595123073386,
Ensanche de Vallecas,2015,,,,,,44.22955326460481,,,55.762614678899084,,,,,,28079054.0,28079054.0,-3.612116666666666,40.372933333333336,627.0,,26.118671248568155,
Ensanche de Vallecas,2016,,,,,,36.208891944539936,,,51.05797101449275,,,,,,28079054.0,28079054.0,-3.612116666666666,40.372933333333336,627.0,,24.134295863412397,
Ensanche de Vallecas,2017,,,,,,39.757384932447906,132.3730122671513,,50.03536571362958,,,,,,28079054.0,28079054.0,-3.612116666666666,40.372933333333336,627.0,,25.74341653308908,
Ensanche de Vallecas,2018,,,,,,37.86206896551724,68.20968303726924,,44.10445682451253,,,,,,28079054.0,28079054.0,-3.612116666666666,40.372933333333336,627.0,,19.79171020550331,
