name,year,month,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PXY,SO_2,TCH,TOL,station,id,lon,lat,elevation,PM25,NO,CH4,month_year
Arturo Soria,2001,1,,0.8522880200301655,,,,58.511695868234135,115.9397039349275,,19.907079403365124,,,22.984751015941676,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2001,2,,0.8390178579748386,,,,57.66147320611136,119.17665179002853,,25.250610125916346,,,24.752559527045204,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2001,3,,0.630867766837279,,,,30.034214875258034,50.76819558478584,,31.932272711404426,,,20.213030302820126,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2001,4,,0.44830555522607435,,,,18.46630554985669,27.434944481982125,,49.85268055399259,24.830665274239404,,13.711152786678738,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2001,5,,0.5017344166542376,,,,20.854268273242766,29.974525754690816,,52.12189188712352,28.426343842060145,,13.28499999214317,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2001,6,,0.5031197771616799,,,,23.904331485375057,34.35278550346582,,58.27294854892312,39.998535569242854,,13.862228403184407,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2001,7,,0.3988037633419197,,,,40.280834417003,59.36750661298593,,56.01489251747888,37.138575252025355,,6.049205915603792,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2001,8,,0.3563978487340313,,,,46.645228448734485,76.58387113835222,,52.683064536461906,39.75939432480454,,7.026075275354488,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2001,9,,0.48026425505422254,,,,51.90344498712814,85.32061363031342,,47.35767732044586,38.439218953064795,,7.574777169479965,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2001,10,,0.6911051203007245,,,,35.14604052724065,84.74648169671086,,23.68102289112548,31.242429121946678,,8.150728748234016,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2001,11,,0.7950694427101148,,,,44.17197502803405,107.68428381029854,,24.04151389963097,29.426592418978377,,14.65009736417895,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2001,12,,1.2144683697542946,,,,78.788371590554,182.5989902978951,,13.699824998067493,40.70184886503799,,16.874131850246464,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,1,,1.005362902437487,,,,71.75708329677582,153.61087385044303,,14.178319861491522,31.078669360888902,,14.507701616133414,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,2,,0.7344791672103816,,,,66.6051489568892,118.31084820344334,,24.12927082322893,29.003764859445038,,14.749538017989272,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,3,,0.6209017493001224,,,,55.19539702660624,85.75598921718058,,39.66371471114948,27.99187081546835,,12.04714672337631,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,4,,0.5014861110183928,,,,53.29091662698322,73.42651378048791,,55.797583404514526,26.696694469286335,,9.001263895299699,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,5,,0.4254301078817857,,,,35.02628537302544,51.89995955008998,,57.74342740992064,24.395551104539184,,7.322029564329373,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,6,,0.37429763568676644,,,,30.087051467205786,38.86452012532941,,62.83781644200417,44.58161555558526,,6.679109870475589,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,7,,0.3543548381722142,,,,30.202395780571056,40.39239570334012,,66.88709679726631,37.194110507431695,,6.734247315955418,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,8,,0.27520161246760716,,,,43.416491912257285,53.75060493330802,,62.84600803480353,29.226366096678845,,6.683857527471358,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,9,,0.4589583332081222,,,,63.02023606167899,90.55176388952466,,43.1909305996365,27.796777785486647,,7.273152776559194,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,10,,0.6025336901996174,,,,55.092655026366444,97.53535048338281,,27.198481158543657,23.37795151645604,,7.595209169966972,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,11,,0.7300833319106863,,,,61.43613899085257,112.69349994924333,,21.808347213930553,18.70056943313943,,13.332475646314768,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2002,12,,0.7634005379132045,,,,61.01745964634803,119.70884422717556,,21.64602151096508,17.64751346545514,,15.179395146908298,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
Arturo Soria,2003,1,,0.7134946228595831,,,,59.03327956891829,106.16314507363946,,26.158279551613717,17.170174740655447,,15.424811836211912,,,28079016.0,28079016.0,-3.639233333333333,40.44004722222222,693.0,,,,
