,day,month,year,name,Cigarettes
90,2004-05-10,5,2004,Casa de Campo,0.33615530440301605
91,2004-05-11,5,2004,Casa de Campo,0.3738257586956024
92,2004-05-12,5,2004,Casa de Campo,0.42559917111042117
93,2004-05-13,5,2004,Casa de Campo,0.5068181852499644
94,2004-05-14,5,2004,Casa de Campo,0.6231060606060606
95,2004-05-15,5,2004,Casa de Campo,0.6492234811638341
96,2004-05-16,5,2004,Casa de Campo,0.6881818211439884
97,2004-05-17,5,2004,Casa de Campo,0.752651516235236
98,2004-05-18,5,2004,Casa de Campo,0.6570075786474979
99,2004-05-19,5,2004,Casa de Campo,0.5634090927514163
100,2004-05-20,5,2004,Casa de Campo,0.4762878797271035
101,2004-05-21,5,2004,Casa de Campo,0.6899431799397324
102,2004-05-22,5,2004,Casa de Campo,0.37416666746139526
103,2004-05-23,5,2004,Casa de Campo,0.4239962110013673
104,2004-05-24,5,2004,Casa de Campo,0.5138068190126709
105,2004-05-25,5,2004,Casa de Campo,0.5015151491670897
106,2004-05-26,5,2004,Casa de Campo,0.4595643977324168
107,2004-05-27,5,2004,Casa de Campo,0.5318181830825227
108,2004-05-28,5,2004,Casa de Campo,0.7734848459561666
109,2004-05-29,5,2004,Casa de Campo,0.8567802960222418
110,2004-05-30,5,2004,Casa de Campo,0.5758143934336576
111,2004-05-31,5,2004,Casa de Campo,0.5575889316000957
112,2004-06-01,6,2004,Casa de Campo,0.7815082664332114
113,2004-06-02,6,2004,Casa de Campo,0.8723106059161099
114,2004-06-03,6,2004,Casa de Campo,0.4748106056993658
115,2004-06-04,6,2004,Casa de Campo,0.4040909066344753
116,2004-06-05,6,2004,Casa de Campo,0.5384090922095559
117,2004-06-06,6,2004,Casa de Campo,0.5755113616134181
118,2004-06-07,6,2004,Casa de Campo,0.7660606106122335
119,2004-06-08,6,2004,Casa de Campo,0.8705871285814227
120,2004-06-09,6,2004,Casa de Campo,0.7076325786836218
121,2004-06-10,6,2004,Casa de Campo,1.0007954474651453
122,2004-06-11,6,2004,Casa de Campo,1.1988636327512336
123,2004-06-12,6,2004,Casa de Campo,0.9594886375196053
124,2004-06-13,6,2004,Casa de Campo,0.42986742350639723
125,2004-06-14,6,2004,Casa de Campo,0.31001894176006317
126,2004-06-15,6,2004,Casa de Campo,0.46087121150710364
127,2004-06-16,6,2004,Casa de Campo,0.5006249989524032
128,2004-06-17,6,2004,Casa de Campo,0.6039204543287103
129,2004-06-18,6,2004,Casa de Campo,0.5715909139676527
130,2004-06-19,6,2004,Casa de Campo,0.8056818147500356
131,2004-06-20,6,2004,Casa de Campo,0.821022725466526
132,2004-06-21,6,2004,Casa de Campo,0.54399620402943
133,2004-06-22,6,2004,Casa de Campo,0.43114624617128033
134,2004-06-23,6,2004,Casa de Campo,0.3324242423881184
135,2004-06-24,6,2004,Casa de Campo,0.2852651531046087
136,2004-06-25,6,2004,Casa de Campo,0.5771401524543762
137,2004-06-25,6,2004,Cuatro Caminos,1.596859498457475
138,2004-06-26,6,2004,Casa de Campo,0.766325755552812
139,2004-06-26,6,2004,Cuatro Caminos,1.308428031025511
140,2004-06-27,6,2004,Casa de Campo,0.7306439425006057
141,2004-06-27,6,2004,Cuatro Caminos,1.244223497130654
142,2004-06-28,6,2004,Casa de Campo,0.8524053060647213
143,2004-06-28,6,2004,Cuatro Caminos,1.6144318074891062
144,2004-06-29,6,2004,Casa de Campo,0.8749242352716852
145,2004-06-29,6,2004,Cuatro Caminos,1.6243478450850537
146,2004-06-30,6,2004,Casa de Campo,0.7151136353160396
147,2004-06-30,6,2004,Cuatro Caminos,1.7623484712658506
148,2004-07-01,7,2004,Casa de Campo,0.8102840853459908
149,2004-07-01,7,2004,Cuatro Caminos,1.5103787870118113
150,2004-07-02,7,2004,Casa de Campo,0.7222916646437212
151,2004-07-02,7,2004,Cuatro Caminos,1.3567424362356013
152,2004-07-03,7,2004,Casa de Campo,0.8370454528115013
153,2004-07-03,7,2004,Cuatro Caminos,1.2182386499462705
154,2004-07-04,7,2004,Casa de Campo,0.7020075727592815
155,2004-07-04,7,2004,Cuatro Caminos,0.9696969823403792
156,2004-07-05,7,2004,Casa de Campo,0.8367424209912618
157,2004-07-05,7,2004,Cuatro Caminos,1.6436174204855254
158,2004-07-06,7,2004,Casa de Campo,0.8659848588885682
159,2004-07-06,7,2004,Cuatro Caminos,1.6482575680270342
160,2004-07-07,7,2004,Casa de Campo,0.5434090942144394
161,2004-07-07,7,2004,Cuatro Caminos,0.9709848436442289
162,2004-07-08,7,2004,Casa de Campo,0.22886363665262857
163,2004-07-08,7,2004,Cuatro Caminos,0.5910037846276254
164,2004-07-09,7,2004,Casa de Campo,0.5230113674293865
165,2004-07-09,7,2004,Cuatro Caminos,0.947405305775729
166,2004-07-10,7,2004,Casa de Campo,0.48003787840857653
167,2004-07-10,7,2004,Cuatro Caminos,0.7722348408265547
168,2004-07-11,7,2004,Casa de Campo,0.515719698234038
169,2004-07-11,7,2004,Cuatro Caminos,0.748030303102551
170,2004-07-12,7,2004,Casa de Campo,0.4218560574632702
171,2004-07-12,7,2004,Cuatro Caminos,0.8788446847236518
172,2004-07-13,7,2004,Casa de Campo,0.5035606035680482
173,2004-07-13,7,2004,Cuatro Caminos,0.9582007545413394
174,2004-07-14,7,2004,Casa de Campo,0.5073863656231851
175,2004-07-14,7,2004,Cuatro Caminos,0.8360037857835944
176,2004-07-15,7,2004,Casa de Campo,0.7864393935059056
177,2004-07-15,7,2004,Cuatro Caminos,1.2811553008628613
178,2004-07-16,7,2004,Casa de Campo,0.9305871219346017
179,2004-07-16,7,2004,Cuatro Caminos,1.5706818248286394
180,2004-07-17,7,2004,Casa de Campo,0.8261553049087524
181,2004-07-17,7,2004,Cuatro Caminos,1.2489583420030999
182,2004-07-18,7,2004,Casa de Campo,0.6714015106360117
183,2004-07-18,7,2004,Cuatro Caminos,1.1046212134939253
184,2004-07-19,7,2004,Casa de Campo,0.5202840948195169
185,2004-07-19,7,2004,Cuatro Caminos,0.9525757646470359
186,2004-07-20,7,2004,Casa de Campo,0.36075757458956553
187,2004-07-20,7,2004,Cuatro Caminos,0.7383901540077095
188,2004-07-21,7,2004,Casa de Campo,0.6673966912198658
189,2004-07-21,7,2004,Cuatro Caminos,1.1711363665985337
190,2004-07-22,7,2004,Casa de Campo,0.7706250015533332
191,2004-07-22,7,2004,Cuatro Caminos,1.3561931740153919
192,2004-07-23,7,2004,Casa de Campo,1.5822727282842
193,2004-07-23,7,2004,Cuatro Caminos,2.681704524791602
194,2004-07-24,7,2004,Casa de Campo,2.7155682029146138
